rho,status,gamma_sq,gamma
0.0,optimal,1.427507905110058e-06,0.0011947836227158698
0.01,optimal,0.043489284750136484,0.20854084671866202
0.02,optimal,0.06363105860210026,0.2522519744265647
0.03,optimal,0.07622103510891873,0.2760815732875317
0.04,optimal,0.08501479352880038,0.29157296433105795
0.05,optimal,0.09159195280264085,0.3026416243721951
0.06,optimal,0.09675454088461177,0.3110539195776381
0.07,optimal,0.1009600329766994,0.3177420856240158
0.08,optimal,0.10449506952285283,0.3232569713445525
0.09,optimal,0.10754642720679053,0.3279427193989684
0.1,optimal,0.11024359314895295,0.3320295064432572
0.11,optimal,0.11268050573895662,0.3356791708446573
0.12,optimal,0.11492736384220453,0.33900938606800335
0.13,optimal,0.11703902863451304,0.3421096734009622
0.14,optimal,0.11905998753027085,0.34505070283984474
0.15,optimal,0.12102922475874753,0.3478925477194755
0.16,optimal,0.12298242696173525,0.3506885041767626
0.17,optimal,0.12495550923220072,0.353490465546386
0.18,optimal,0.12698735529172459,0.35635285222897345
0.19,optimal,0.12911623137814046,0.3593274709483544
0.2,optimal,0.1313935229773938,0.3624824450609902
0.21,optimal,0.13386996496305056,0.3658824469184748
0.22,optimal,0.13661732734203758,0.3696178125334838
0.23,optimal,0.1397584450746239,0.3738428079749882
0.24,optimal,0.14298120619990268,0.3781285577682578
0.25,optimal,0.14607532551874297,0.38219801872686754
0.26,optimal,0.149040979704718,0.3860582594696272
0.27,optimal,0.1518823472776277,0.3897208581505841
0.28,optimal,0.15459767940470293,0.39318911404653983
0.29,optimal,0.15718886961204606,0.39647051543847
0.3,optimal,0.15965730730285635,0.3995714045109539
0.31,optimal,0.16200371933564875,0.4024968563052993
0.32,optimal,0.16422830646451342,0.4052509179070584
0.33,optimal,0.16633156196412247,0.40783766619100115
0.34,optimal,0.1683136476138776,0.41026046313759945
0.35000000000000003,optimal,0.17017539559096753,0.41252320612417376
0.36,optimal,0.17191571741369588,0.414627202934993
0.37,optimal,0.17353604058352845,0.41657657229317213
0.38,optimal,0.17503608364303555,0.4183731392465768
0.39,optimal,0.1764159409983686,0.42001897695029045
0.4,optimal,0.17767569381527556,0.4215159472846497
0.41000000000000003,optimal,0.17881537536749464,0.4228656705946874
0.42,optimal,0.17983516213528705,0.42406976093007037
0.43,optimal,0.18073478496477965,0.42512913916218403
0.44,optimal,0.18151444338886227,0.42604511895908664
0.45,optimal,0.18217415339739468,0.42681864227959243
0.46,optimal,0.18271392403552414,0.4274504930813908
0.47000000000000003,optimal,0.18313375210352467,0.427941295160358
0.48,optimal,0.183434057339562,0.42829202343676914
0.49,optimal,0.18361399062496564,0.4285020310628243
0.5,optimal,0.18462655379535792,0.4296819216529338
0.51,optimal,0.18361399062540235,0.42850203106333384
0.52,optimal,0.18343405733740947,0.4282920234342562
0.53,optimal,0.1831337521070138,0.4279412951644347
0.54,optimal,0.18271392403403136,0.42745049307964467
0.55,optimal,0.18217415339719786,0.42681864227936184
0.56,optimal,0.181514443389197,0.42604511895947944
0.5700000000000001,optimal,0.18073478496497192,0.4251291391624102
0.58,optimal,0.17983516213528147,0.4240697609300638
0.59,optimal,0.17881537536617995,0.42286567059313285
0.6,optimal,0.17767569381905865,0.42151594728913716
0.61,optimal,0.17641594099832092,0.42001897695023366
0.62,optimal,0.17503608364334122,0.41837313924694214
0.63,optimal,0.17353604058351027,0.4165765722931503
0.64,optimal,0.17191571741365666,0.4146272029349457
0.65,optimal,0.17017539559090814,0.41252320612410176
0.66,optimal,0.16831364761420364,0.4102604631379968
0.67,optimal,0.16633156196418578,0.40783766619107875
0.68,optimal,0.1642283064751287,0.4052509179201556
0.6900000000000001,optimal,0.1620037193344398,0.4024968563037975
0.7000000000000001,optimal,0.1596573072428169,0.3995714044358241
0.71,optimal,0.1571888696120392,0.39647051543846135
0.72,optimal,0.15459767940471394,0.3931891140465539
0.73,optimal,0.151882347277379,0.389720858150265
0.74,optimal,0.14904097971730632,0.38605825948593087
0.75,optimal,0.14607532551861951,0.382198018726706
0.76,optimal,0.14298120620109533,0.37812855776983484
0.77,optimal,0.13975858499056218,0.3738429951069863
0.78,optimal,0.1366173280503197,0.3696178134916115
0.79,optimal,0.13386996497180248,0.36588244693043487
0.8,optimal,0.13139352297751966,0.36248244506116384
0.81,optimal,0.12911623153552898,0.3593274711673587
0.8200000000000001,optimal,0.12698735529568594,0.35635285223453167
0.8300000000000001,optimal,0.12495550922320837,0.35349046553366664
0.84,optimal,0.12298242697008495,0.3506885041886673
0.85,optimal,0.12102922475770861,0.34789254771798234
0.86,optimal,0.11905998752917764,0.3450507028382606
0.87,optimal,0.11703902863362549,0.342109673399665
0.88,optimal,0.11492736384504439,0.3390093860721918
0.89,optimal,0.11268050573921233,0.3356791708450382
0.9,optimal,0.11024359314884814,0.3320295064430993
0.91,optimal,0.10754642720768755,0.32794271940033604
0.92,optimal,0.10449506509932568,0.32325696450243063
0.93,optimal,0.10096003306400668,0.31774208576140284
0.9400000000000001,optimal,0.09675453996968686,0.3110539181069527
0.9500000000000001,optimal,0.09159195276573838,0.3026416243112279
0.96,optimal,0.0850147935007918,0.2915729642830278
0.97,optimal,0.07622103447143552,0.27608157213301204
0.98,optimal,0.06363105860737558,0.2522519744370212
0.99,optimal,0.04348928492327607,0.20854084713378354
1.0,optimal,1.427507905110058e-06,0.0011947836227158698
